Company Name,Founding Date,Founder name,Location,Industry/Sector,Stage,Brief Description,Team Members,Business Model,Loyal Customer,Market Size (Rp),Market Target,Amount seeking (Rp),Funding Raised (Rp),Revenue (Rp),Profiitability (%),Growth rate (%),Preferred investment type,Intended use of funds
SmartFarm Indonesia,2011-09-01,"Cut Farah Yulianti, S.Kom","Padang, West Sumatra",Agricultural Technology,Series C,"""SmartFarm Indonesia is an agricultural technology company that develops and implements precision farming solutions for smallholder farmers in Indonesia. Our innovative approach uses drones and AI-powered analytics to optimize crop yields and reduce waste, enabling farmers to increase their income and improve their livelihoods.""",99,E-commerce,14717,31000000000,SMBs,16000000000,16000000,99000000.0,0.26,39.0,Equity,"""Enhancing our IoT-powered crop monitoring system and extending our distribution channels to serve more farmers across Indonesia."""
EcoPure Indonesia,2024-06-25,Ellis Narpati,"Jayapura, Papua",Environmental Technology,Series A,""" EcoPure Indonesia is dedicated to developing air and water purification systems for remote and underserved areas. The company provides affordable, environmentally friendly purifiers to ensure access to clean air and water in the face of environmental challenges.""",46,E-commerce,15961,31000000000,Global,24000000000,45000000,30000000.0,0.14,94.0,Debt,"""Manufacture and distribute purifiers, improve product efficiency, and extend market penetration to more rural areas."""
FinGen Indonesia,2009-04-10,Qori Anggraini,"Mamuju, West Sulawesi",Financial Tech,Series B,"""FinGen Indonesia is a Financial Tech company that provides affordable and accessible financial services to underserved communities in Indonesia. Our innovative approach uses AI-powered lending algorithms to match borrowers with suitable loan products, reducing the risk of default and improving financial inclusion.""",79,Freemium,6340,26000000000,Enterprises,41000000000,5000000,90000000.0,-0.18,115.0,Equity,"""Enhancing our mobile app and broadening our collaboration with partner banks and financial institutions."""
Bumi Eco,2018-05-12,Asman Lazuardi,"Ende, East Nusa Tenggara",Sustainable Energy,Pre-seed,"""Bumi Eco is a startup that specializes in developing eco-friendly technologies to reduce waste and pollution. Our mission is to create a sustainable future for Indonesia by providing innovative solutions for waste management, renewable energy, and eco-friendly products. We are committed to working with local communities, governments, and private sectors to achieve our goals and create a positive impact on the environment.""",111,Ad-based,10439,34000000000,Specific Industries,87000000000,13000000,46000000.0,0.57,103.0,Equity,"""We plan to use the investment to scale up our production capacity, expand our distribution network, and develop new products that cater to the growing demand for eco-friendly solutions in Indonesia."""
EnviroTech,2020-02-15,Rafiq Mahfudz,"Timika, Central Papua",Environmental Tech,Growth,"""EnviroTech is a startup that aims to make cities greener and more sustainable by providing urban agriculture solutions. Our mission is to create a network of community gardens, greenhouses, and urban farms that provide fresh produce to local residents, while also educating them on sustainable living practices. We believe that every city deserves a greener future, and we are committed to making that vision a reality.""",100,Freemium,13412,38000000000,SMBs,49000000000,6000000,157000000.0,0.23,102.0,Convertible Note,"""We plan to use the investment to develop our proprietary hydroponic system, build our first community garden, and hire a team of experts in urban agriculture and education."""
TaniHub,2015-10-20,Nugroho Wiyogo,"Banjarmasin, South Kalimantan",Agricultural Technology,Series C,"""TaniHub is a startup that connects farmers with buyers and provides them with access to market information, pricing data, and logistics solutions. Our mission is to empower farmers to make informed decisions, improve their productivity, and increase their income. We believe that every farmer deserves a fair price for their produce, and we are committed to making that vision a reality.""",119,Ad-based,12750,19000000000,Global,50000000000,14000000,16000000.0,0.01,19.0,Equity,"""We plan to use the investment to expand our operations to new regions, develop our mobile app, and hire a team of experts in agriculture and marketing."""
SayaEd,2019-03-22,Laksmi Nugroho,"Jakarta, Jakarta",Education,Pre-seed,"""SayaEd is a startup that provides personalized learning solutions for students in Indonesia. Our mission is to bridge the gap between education and industry, and to equip students with the skills and knowledge they need to succeed in the 21st century. We believe that every student deserves access to quality education, and we are committed to making that vision a reality.""",126,Freemium,180,30000000000,Enterprises,52000000000,19000000,117000000.0,0.42,35.0,Convertible Note,"""We plan to use the investment to develop our AI-powered learning platform, build our team of experts in education and technology, and expand our reach to new regions."""
JagoHealth,2017-01-18,Siti Nurmalia,"Timika, Central Papua",Healthcare,Series A,"""JagoHealth is a startup that specializes in developing affordable and accessible healthcare solutions for underserved communities in Indonesia. Our mission is to provide high-quality medical care to those who need it most, and to empower patients to take control of their health. We believe that every person deserves access to quality healthcare, and we are committed to making that vision a reality.""",30,Marketplace,272,49000000000,Specific Industries,51000000000,31000000,183000000.0,0.18,28.0,Equity,"""We plan to use the investment to develop our telemedicine platform, build our team of experts in healthcare and technology, and expand our reach to new regions."""
Ayo,2021-08-25,Muhammad Firman,"Denpasar, Bali",Logistics,Series C,"""Ayo is a startup that provides logistics solutions for e-commerce businesses in Indonesia. Our mission is to make delivery faster, cheaper, and more reliable, and to empower online sellers to reach new customers and grow their businesses. We believe that every online seller deserves access to efficient and effective logistics, and we are committed to making that vision a reality.""",143,Subscription,3521,22000000000,Enterprises,36000000000,1000000,153000000.0,0.51,119.0,Convertible Note,"""We plan to use the investment to expand our operations to new regions, develop our mobile app, and hire a team of experts in logistics and marketing."""
Halo,2016-04-01,Raden Purnomo,"Yogyakarta, Yogyakarta",Financial Tech,Series C,"""Halo is a startup that provides financial inclusion solutions for underserved communities in Indonesia. Our mission is to provide access to affordable and responsible financial services, and to empower individuals and small businesses to achieve their financial goals. We believe that every person deserves access to quality financial services, and we are committed to making that vision a reality.""",83,Ad-based,1116,28000000000,Enterprises,5000000000,14000000,97000000.0,0.06,105.0,Equity,"""We plan to use the investment to develop our mobile wallet, build our team of experts in finance and technology, and expand our reach to new regions."""
EduSalna,2019-03-22,Nurul Khairani,"Yogyakarta, Yogyakarta",Education,Seed,"""EduSalna is a startup that provides personalized learning solutions for students in Indonesia. Our mission is to bridge the gap between education and industry, and to equip students with the skills and knowledge they need to succeed in the 21st century. We believe that every student deserves access to quality education, and we are committed to making that vision a reality.""",53,Marketplace,17590,28000000000,Enterprises,16000000000,43000000,42000000.0,0.16,95.0,Convertible Note,"""We intend to utilize the investment to enhance our AI-driven learning platform, strengthen our team of education and technology experts, and extend our presence to additional regions."""
Ria,2018-11-16,Rahmi Nur,"Ambon, Maluku",Travel,Series B,"""Ria is a startup that provides travel solutions for tourists in Indonesia. Our mission is to make travel easier, more affordable, and more enjoyable, and to empower travelers to explore new destinations and experiences. We believe that every traveler deserves access to quality travel services, and we are committed to making that vision a reality.""",86,Marketplace,3163,35000000000,Individuals,7000000000,29000000,76000000.0,0.55,74.0,Equity,"""We plan to use the investment to develop our travel app, build our team of experts in travel and marketing, and expand our reach to new regions."""
Nadi,2020-09-01,Ratri Sari,"Ende, East Nusa Tenggara",Healthcare,Series C,"""Nadi is a startup that specializes in developing affordable and accessible healthcare solutions for underserved communities in Indonesia. Our mission is to provide high-quality medical care to those who need it most, and to empower patients to take control of their health. We believe that every person deserves access to quality healthcare, and we are committed to making that vision a reality.""",74,E-commerce,19039,22000000000,Enterprises,3000000000,19000000,117000000.0,0.08,42.0,Convertible Note,"""We aim to leverage the investment to enhance our telemedicine platform, grow our team of healthcare and technology specialists, and broaden our presence into new areas."""
ZawTech Indonesia,2022-01-15,Liana Putri,"Banda Aceh, Aceh",Renewable Energy,Series A,"""ZawTech Indonesia is an innovative startup that aims to reduce carbon emissions in Indonesia by providing sustainable energy solutions. Our cutting-edge technology utilizes AI-powered solar panels to maximize energy efficiency, while our team of experts ensures seamless integration with existing infrastructure. With a strong focus on social responsibility, we strive to make a positive impact on the environment and contribute to a cleaner future for generations to come.""",15,Freemium,11649,44000000000,Specific Industries,32000000000,40000000,200000000.0,-0.11,114.0,Equity,"""Developing our AI-powered solar panel technology and expanding our team to accelerate market penetration."""
Arya Teknologi,2021-06-10,Luna Wijayanti,"Semarang, Central Java",E-commerce,Series A,"""Arya Teknologi is an e-commerce platform for sustainable products in Indonesia. We connect consumers with environmentally-friendly brands and products, making it easier for them to live a greener lifestyle. Our platform aims to reduce waste and promote eco-friendly practices among Indonesian consumers.""",51,SaaS,16538,10000000000,Specific Industries,33000000000,14000000,158000000.0,0.45,117.0,Equity,"""We plan to use the investment funds to enhance our platform's user experience, expand our product offerings, and develop strategic partnerships with eco-friendly brands."""
Medika Care,2018-03-15,Rizky Kurniawan,"Palu, Central Sulawesi",Healthtech,Pre-seed,"""Medika Care is a healthtech startup that provides AI-powered healthcare services to rural communities in Indonesia. Our platform offers telemedicine services, health monitoring, and personalized health advice to patients, improving access to quality healthcare in underserved areas.""",89,Subscription,13994,29000000000,Individuals,94000000000,47000000,114000000.0,0.44,103.0,Debt,"""We will use the investment funds to scale our platform, expand our team, and integrate new AI-powered features to enhance our services."""
GreenSpark,2019-09-20,Astrid Setiawan,"Tarakan, North Kalimantan",Sustainable Energy,Series C,"""GreenSpark is a sustainable energy startup that develops and implements solar energy solutions for residential and commercial customers in Indonesia. Our goal is to reduce Indonesia's reliance on fossil fuels and promote renewable energy adoption.""",76,Ad-based,4515,37000000000,SMBs,6000000000,10000000,90000000.0,-0.17,66.0,Convertible Note,"""We plan to use the investment funds to expand our sales and marketing efforts, develop new products, and enhance our customer service capabilities."""
FoodHub,2020-01-25,Budi Hartono,"Bukittinggi, West Sumatra",Foodtech,Pre-seed,"""FoodHub is a foodtech startup that connects local farmers with consumers through an online platform. We aim to reduce food waste, promote sustainable agriculture, and provide fresh produce to consumers at competitive prices.""",59,Ad-based,15807,45000000000,Enterprises,76000000000,41000000,127000000.0,-0.13,38.0,Equity,"""We will use the investment funds to develop our platform, build a strong marketing team, and establish partnerships with local farmers and suppliers."""
InspireEdu,2017-11-01,Rina Sari,"Banda Aceh, Aceh",Education Technology,Series A,"""InspireEdu is an Education Technology startup that provides AI-powered educational services to students in Indonesia. Our platform offers personalized learning plans, adaptive assessments, and interactive learning materials to improve student outcomes and engagement.""",22,SaaS,12598,19000000000,Specific Industries,38000000000,300000,30000000.0,0.54,88.0,Debt,"""We plan to use the investment funds to scale our platform, expand our team, and integrate new AI-powered features to enhance our services."""
CarePal,2019-05-15,Andrea Widodo,"Wamena, Highland Papua",Healthcare,Series A,"""CarePal is a healthcare startup that provides home healthcare services to patients in Indonesia. Our platform offers nurse-led care, telemedicine services, and personalized health advice to patients, improving access to quality healthcare in underserved areas.""",64,SaaS,5813,21000000000,Individuals,25000000000,14000000,12000000.0,0.1,119.0,Convertible Note,"""We will use the investment funds to expand our services, develop new products, and enhance our customer service capabilities."""
SustainaWatt,2020-08-10,Dewi Saraswati,"Jayapura, Papua",Sustainable Waste Management,Series B,"""SustainaWatt is a sustainable waste management startup that provides waste collection and recycling services to businesses and households in Indonesia. Our goal is to reduce waste in Indonesian cities and promote a culture of sustainability.""",115,Freemium,7194,14000000000,Global,73000000000,7000000,53000000.0,0.26,92.0,Equity,"""We plan to use the investment funds to develop our waste management system, build a strong marketing team, and establish partnerships with businesses and government agencies."""
Mindful,2018-01-01,Lestari Handayani,"Banjarmasin, South Kalimantan",Mental Health,Growth,"""Mindful is a mental health startup that provides online therapy services to patients in Indonesia. Our platform offers counseling, coaching, and community support to patients, improving access to mental health services in underserved areas.""",23,Subscription,8387,27000000000,Individuals,60000000000,15000000,129000000.0,-0.19,100.0,Debt,"""We will use the investment funds to scale our platform, expand our team, and integrate new features to enhance our services."""
FreshForAll,2021-02-20,Rahmat Sumardi,"Kendari, Southeast Sulawesi",Food Delivery,Growth,"""FreshForAll is a food delivery startup that connects consumers with local restaurants and food vendors in Indonesia. Our platform offers a wide range of menu options, fast delivery, and competitive pricing to customers.""",34,Ad-based,969,38000000000,Individuals,60000000000,41000000,68000000.0,0.17,34.0,Convertible Note,"""We plan to use the investment funds to expand our services, develop new products, and enhance our customer service capabilities."""
RegenEco,2019-04-01,Nurul Huda,"Pontianak, West Kalimantan",Renewable Energy,Series A,"""RegenEco is a renewable energy startup that develops and implements solar energy solutions for residential and commercial customers in Indonesia. Our goal is to reduce Indonesia's reliance on fossil fuels and promote renewable energy adoption.""",115,Freemium,9273,47000000000,Enterprises,83000000000,39000000,92000000.0,-0.03,47.0,Equity,"""We will use the investment funds to develop our solar energy system, build a strong marketing team, and establish partnerships with businesses and government agencies."""
AgroHub,2020-09-01,Dwi Anggara,"Bengkulu, Bengkulu",Agricultural Technology,Growth,"""AgroHub is an agriculture startup that provides online marketplaces and logistics services to farmers and consumers in Indonesia. Our platform connects buyers and sellers, improving access to fresh produce and reducing food waste.""",27,Freemium,14699,27000000000,Specific Industries,54000000000,27000000,161000000.0,0.08,36.0,Debt,"""We plan to use the investment funds to scale our platform, expand our team, and integrate new features to enhance our services."""
AstraX,2022-01-15,Siti Nurlayla,"Jakarta, Jakarta",Financial Tech,Seed,"""AstraX is a digital payment platform connecting customers with merchants across Indonesia. We use blockchain technology to provide secure, fast and low-cost transactions. Our goal is to increase financial inclusion by making payment services accessible to all. We are a team of passionate individuals who believe in the power of innovation and technology to drive positive change.""",149,Marketplace,7157,41000000000,Global,94000000000,43000000,70000000.0,0.09,73.0,Equity,"""To scale our customer acquisition efforts and expand our merchant network, we need to invest in targeted marketing campaigns and develop strategic partnerships with key industry players."""
GreenGrid,2019-06-20,Andi Sutanto,"Bengkulu, Bengkulu",Sustainability,Series C,"""GreenGrid is a circular economy platform that enables consumers to recycle their waste and earn rewards. Our platform connects consumers with local recycling centers, reducing waste sent to landfills and promoting sustainable practices. We aim to create a culture of sustainability and environmental stewardship in Indonesia.""",11,Freemium,1673,17000000000,Individuals,94000000000,40000000,52000000.0,-0.06,65.0,Convertible Note,"""We plan to use the investment to enhance our platform's capabilities, expand our marketing efforts, and develop strategic partnerships with key industry players to increase our impact."""
HealthHub,2020-03-10,Nuraisyah,"Semarang, Central Java",Healthtech,Series B,"""HealthHub is a healthcare platform that connects patients with healthcare providers across Indonesia. Our platform provides patients with easy access to medical consultations, prescriptions, and health monitoring services. We aim to improve healthcare outcomes and reduce healthcare costs through our innovative approach.""",38,SaaS,313,9000000000,Individuals,34000000000,32000000,57000000.0,0.08,106.0,Debt,"""We will use the investment to develop our platform's features, enhance user experience, and increase our marketing efforts to attract more patients and healthcare providers."""
GrocerGo,2018-09-25,Ridwan Jamil,"Surabaya, East Java",E-commerce,Pre-seed,"""GrocerGo is an e-commerce platform that connects consumers with local grocery stores and food vendors. Our platform provides consumers with a wide selection of fresh produce, meats, and other grocery items, while also supporting local businesses and reducing food waste.""",102,SaaS,9376,41000000000,Global,75000000000,47000000,69000000.0,0.21,55.0,Equity,"""We plan to use the investment to expand our product offerings, enhance our logistics and delivery capabilities, and develop strategic partnerships with key industry players to increase our market share."""
LanayEduc,2021-02-01,Firman Setya,"Tarakan, North Kalimantan",Education Technology,Pre-seed,"""LanayEduc is an Education Technology platform that provides personalized learning experiences for students in Indonesia. Our platform uses AI-powered adaptive technology to create customized learning plans, improving student outcomes and increasing teacher efficiency.""",87,Ad-based,615,22000000000,Global,73000000000,9000000,88000000.0,0.05,69.0,Convertible Note,"""We will use the investment to develop our platform's features, enhance user experience, and increase our marketing efforts to attract more students and teachers."""
ReNewify,2017-11-15,I Gusti Agung,"Palu, Central Sulawesi",Renewable Energy,Series A,"""ReNewify is a renewable energy company that develops and operates solar and wind power projects in Indonesia. Our goal is to increase the use of renewable energy in Indonesia, reducing the country's dependence on fossil fuels and mitigating climate change.""",32,Marketplace,6625,19000000000,Enterprises,62000000000,28000000,99000000.0,-0.2,138.0,Debt,"""We plan to use the investment to develop new renewable energy projects, enhance our project management capabilities, and increase our marketing efforts to attract more customers."""
FitZone,2020-08-05,Aisyah,"Manokwari, West Papua",Health and Wellness,Series B,"""FitZone is a health and wellness platform that provides fitness classes, nutrition planning, and mental wellness services to consumers in Indonesia. Our goal is to improve the physical and mental health of Indonesians, increasing overall well-being and quality of life.""",40,Subscription,13981,17000000000,Individuals,98000000000,13000000,178000000.0,0.08,64.0,Equity,"""We will use the investment to develop our platform's features, enhance user experience, and increase our marketing efforts to attract more customers."""
SmartCrops,2019-04-22,Nur Hasanah,"Denpasar, Bali",Agricultural Technology,Series A,"""SmartCrops is an agricultural technology company that develops and operates precision farming solutions in Indonesia. Our goal is to increase crop yields, reduce water and pesticide use, and improve farmer incomes.""",37,Subscription,12760,17000000000,Global,94000000000,38000000,157000000.0,0.09,71.0,Convertible Note,"""We plan to use the investment to develop new precision farming solutions, enhance our data analytics capabilities, and increase our marketing efforts to attract more farmers and customers."""
HealLink,2018-06-10,Rachmat,"Jambi, Jambi",Healthcare,Seed,"""HealLink is a healthcare platform that connects patients with healthcare providers in Indonesia. Our platform provides patients with easy access to medical consultations, prescriptions, and health monitoring services. We aim to improve healthcare outcomes and reduce healthcare costs through our innovative approach.""",87,Subscription,12619,15000000000,Specific Industries,84000000000,40000000,45000000.0,0.25,33.0,Debt,"""We will allocate the investment to improve platform features, optimize user experience, and boost marketing to attract more patients and healthcare providers."""
SecurePay,2021-09-15,Siti Rohmah,"Malang, East Java",Financial Tech,Seed,"""SecurePay is a digital payment platform that provides secure, fast and low-cost transactions to consumers and businesses in Indonesia. Our goal is to increase financial inclusion by making payment services accessible to all.""",52,SaaS,2732,32000000000,Specific Industries,80000000000,3000000,55000000.0,-0.04,99.0,Equity,"""We intend to use the investment to grow our product range, improve logistics and delivery, and form strategic partnerships with key industry players to boost our market share."""
PulseConnect,2020-07-15,Rina Rahyuni,"Gorontalo, Gorontalo",Healthcare Technology,Series B,"""PulseConnect is a digital health platform that connects patients with healthcare professionals for remote consultations. Our platform aims to increase access to quality healthcare services, especially in underserved regions of Indonesia. We are developing AI-powered chatbots to provide personalized health advice and reminders to patients. Our mission is to revolutionize the way healthcare is delivered in Indonesia.""",68,Ad-based,953,20000000000,Enterprises,28000000000,43000000,156000000.0,-0.16,100.0,Equity,"""We plan to utilize the funds to scale up our platform, develop new features, and expand our team. Specifically, we aim to develop a mobile app for patients to access our services on-the-go and integrate our platform with existing health insurance providers in Indonesia."""
AquaSphere,2018-03-20,Andika Ralasti,"Mamuju, West Sulawesi",Sustainable Energy,Series C,"""AquaSphere is a renewable energy company that specializes in developing and deploying floating solar panel systems for remote communities and industries in Indonesia. Our innovative technology aims to reduce carbon emissions, increase energy access, and promote sustainable development in Indonesia. We are committed to providing clean energy solutions that benefit both the environment and local economies.""",100,Freemium,15009,34000000000,Individuals,56000000000,40000000,131000000.0,-0.02,33.0,Debt,"""We plan to use the funds to finance the deployment of our floating solar panel systems in several remote communities in Indonesia. Specifically, we aim to develop a large-scale project in East Nusa Tenggara, which will provide clean energy to over 1000 households and reduce carbon emissions by 10000 tons per year."""
FoodCycle,2019-10-01,Lutfi Hidayat,"Gorontalo, Gorontalo",Food Technology,Series B,"""FoodCycle is a social enterprise that develops and manufactures innovative food products using locally-sourced ingredients and sustainable production methods. Our flagship product is a range of organic, plant-based snack foods that are free from artificial preservatives and additives. We aim to reduce food waste, promote sustainable agriculture, and provide healthy food options for Indonesian consumers.""",100,Subscription,8867,29000000000,Specific Industries,73000000000,47000000,139000000.0,0.23,16.0,Convertible Note,"""We plan to use the funds to scale up our production capacity, develop new product lines, and expand our distribution network across Indonesia. Specifically, we aim to partner with local farmers to source high-quality ingredients and develop a range of organic food products that meet the needs of Indonesian consumers."""
EcoAmp,2021-01-15,Dewi Kurniawati,"Kupang, East Nusa Tenggara",Environmental Technology,Pre-seed,"""EcoAmp is a waste management company that specializes in developing and deploying innovative waste recycling technologies for urban areas in Indonesia. Our cutting-edge technology aims to reduce waste disposal costs, increase recycling rates, and promote sustainable development in Indonesian cities. We are committed to providing clean and efficient waste management solutions that benefit both the environment and local communities.""",42,SaaS,15004,1000000000,SMBs,93000000000,36000000,120000000.0,0.45,62.0,Equity,"""We plan to use the funds to deploy our waste recycling technology in several urban areas in Indonesia. Specifically, we aim to develop a large-scale project in Jakarta, which will process over 1000 tons of waste per day and reduce carbon emissions by 20000 tons per year."""
SmartHomes,2017-06-01,Andi Supriyadi,"Bengkulu, Bengkulu",Real Estate Technology,Seed,"""SmartHomes is a real estate technology company that develops and markets innovative home automation systems for residential and commercial properties in Indonesia. Our flagship product is a smart home controller that integrates with various smart devices and sensors to provide seamless home automation experiences. We aim to increase energy efficiency, reduce maintenance costs, and enhance the living experience for Indonesian homeowners.""",91,E-commerce,17490,4000000000,Individuals,41000000000,38000000,43000000.0,0.45,66.0,Convertible Note,"""We plan to use the funds to develop new features and expand our distribution network across Indonesia. Specifically, we aim to partner with local construction companies to integrate our smart home technology into new residential projects and develop a range of smart home solutions that meet the needs of Indonesian homeowners."""
GoCycle,2016-09-01,Yuliati Supriyanto,"Denpasar, Bali",Sustainable Agriculture,Seed,"""GoCycle is a sustainable agriculture company that specializes in developing and deploying innovative crop rotation systems for smallholder farmers in Indonesia. Our cutting-edge technology aims to increase crop yields, reduce chemical usage, and promote sustainable agriculture practices in Indonesian farming communities. We are committed to providing clean and efficient agriculture solutions that benefit both the environment and local farmers.""",75,Marketplace,16874,3000000000,Individuals,64000000000,12000000,81000000.0,-0.03,53.0,Equity,"""We plan to use the funds to deploy our crop rotation technology in several farming communities in Indonesia. Specifically, we aim to develop a large-scale project in East Java, which will process over 1000 hectares of farmland and increase crop yields by 20%."""
BioSphere,2020-04-01,Mochamad Suhardi,"Gorontalo, Gorontalo",Biotechnology,Series B,"""BioSphere is a biotechnology company that develops and manufactures innovative bioproducts using microorganisms and fermentation technology. Our flagship product is a range of bio-based cleaning products that are free from harsh chemicals and artificial fragrances. We aim to reduce waste, promote sustainable production methods, and provide healthy and effective cleaning solutions for Indonesian consumers.""",62,E-commerce,15562,5000000000,SMBs,94000000000,21000000,164000000.0,0.04,46.0,Convertible Note,"""We plan to use the funds to develop new product lines and expand our distribution network across Indonesia. Specifically, we aim to partner with local businesses to develop a range of bio-based cleaning products that meet the needs of Indonesian consumers."""
SolarSphere,2019-11-01,Eko Supriyanto,"Tanjung Pinang, Riau Islands",Renewable Energy,Seed,"""SolarSphere is a renewable energy company that specializes in developing and deploying solar panel systems for residential and commercial properties in Indonesia. Our cutting-edge technology aims to reduce carbon emissions, increase energy access, and promote sustainable development in Indonesian communities. We are committed to providing clean and efficient energy solutions that benefit both the environment and local consumers.""",68,E-commerce,3740,9000000000,Enterprises,51000000000,35000000,79000000.0,0.57,88.0,Equity,"""We plan to use the funds to deploy our solar panel systems in several communities in Indonesia. Specifically, we aim to develop a large-scale project in Sumatra, which will provide clean energy to over 1000 households and reduce carbon emissions by 15000 tons per year."""
CleanTech,2018-01-01,Siti Fatimah,"Pangkalpinang, Bangka Belitung Islands",Environmental Technology,Growth,"""CleanTech is an environmental technology company that develops and markets innovative waste management solutions for urban areas in Indonesia. Our flagship product is a waste-to-energy system that converts waste into electricity and heat. We aim to reduce waste disposal costs, increase recycling rates, and promote sustainable development in Indonesian cities.""",113,Freemium,19376,25000000000,Enterprises,70000000000,7000000,83000000.0,0.54,86.0,Debt,"""We plan to use the funds to develop new features and expand our distribution network across Indonesia. Specifically, we aim to partner with local businesses to develop a range of waste management solutions that meet the needs of Indonesian consumers."""
ReGreenNewify,2022-02-10,Luh Putu Dewi,"Ternate, North Maluku",Renewable Energy,Seed,"""ReGreenNewify is an eco-friendly startup that specializes in sustainable energy solutions for remote communities in Indonesia. Our innovative approach combines solar power with community-led initiatives to promote energy access and reduce carbon emissions. With a strong focus on social impact, we aim to empower local economies and contribute to a cleaner environment. Our mission is to bridge the energy gap in rural areas, providing reliable and sustainable energy for homes, schools, and community centers.""",52,SaaS,2732,32000000000,Specific Industries,80000000000,3000000,55000000.0,-0.04,99.0,Equity,"""Scaling up our production capacity to meet growing demand, expanding our team to enhance customer support, and developing strategic partnerships to increase market reach."""
Astra Tech,2015-03-12,Evan Alamsyah,"Wamena, Highland Papua",Software,Series B,"""Astra Tech is a cloud-based platform that provides AI-powered marketing automation solutions for small and medium-sized businesses in Indonesia. Our platform helps businesses streamline their marketing efforts, increase customer engagement, and drive revenue growth. With Astra Tech, businesses can easily create and manage their marketing campaigns, track customer interactions, and analyze campaign performance in real-time. Our mission is to empower businesses to succeed in the digital age by providing innovative marketing solutions that are affordable, easy to use, and highly effective.""",68,Ad-based,953,20000000000,Enterprises,28000000000,43000000,156000000.0,-0.16,100.0,Equity,"""We plan to use the investment funds to further develop our platform, enhance our marketing capabilities, and expand our sales and customer support teams. We also plan to invest in strategic partnerships with other businesses and organizations to increase our reach and impact in the market."""
CycleRound,2018-09-15,Luna Rizki,"Timika, Central Papua",E-commerce,Series C,"""CycleRound is an e-commerce platform that specializes in sustainable and eco-friendly products for Indonesian consumers. Our platform offers a wide range of products, including reusable bags, bamboo toothbrushes, and refillable water bottles. We believe that everyone has the power to make a positive impact on the environment, and our mission is to make sustainable living accessible and affordable for all.""",100,Freemium,15009,34000000000,Individuals,56000000000,40000000,131000000.0,-0.02,33.0,Debt,"""We plan to use the investment funds to scale our operations, improve our logistics and supply chain management, and expand our product offerings to meet the growing demand for sustainable products in Indonesia."""
Vita Health,2020-06-01,Ade Putra,"Ternate, North Maluku",Healthcare,Series B,"""Vita Health is a healthcare technology company that specializes in developing innovative digital solutions for patient engagement, disease management, and population health. Our platform provides a range of features, including telemedicine services, personalized health coaching, and data analytics for healthcare providers and payers. Our mission is to improve healthcare outcomes, reduce costs, and enhance patient satisfaction through our cutting-edge digital solutions.""",100,Subscription,8867,29000000000,Specific Industries,73000000000,47000000,139000000.0,0.23,16.0,Convertible Note,"""We plan to use the investment funds to further develop our platform, expand our sales and marketing efforts, and establish strategic partnerships with healthcare providers and payers in Indonesia and beyond."""
FreshFarm,2019-01-20,Dewi Ayu,"Timika, Central Papua",Agricultural Technology,Pre-seed,"""FreshFarm is an agriculture technology company that specializes in developing innovative digital solutions for farmers, agricultural cooperatives, and food processors in Indonesia. Our platform provides a range of features, including precision farming, supply chain management, and market access for smallholder farmers. Our mission is to improve agricultural productivity, increase farmer income, and enhance food security through our cutting-edge digital solutions.""",42,SaaS,15004,1000000000,SMBs,93000000000,36000000,120000000.0,0.45,62.0,Equity,"""We plan to use the investment funds to further develop our platform, expand our sales and marketing efforts, and establish strategic partnerships with agricultural cooperatives and food processors in Indonesia."""
Mindful Minds,2017-11-15,Rian Surya,"Palu, Central Sulawesi",Education,Seed,"""Mindful Minds is an education technology company that specializes in developing innovative digital solutions for students, teachers, and educational institutions in Indonesia. Our platform provides a range of features, including online courses, educational resources, and student assessment tools. Our mission is to improve educational outcomes, increase access to quality education, and enhance student engagement through our cutting-edge digital solutions.""",91,E-commerce,17490,4000000000,Individuals,41000000000,38000000,43000000.0,0.45,66.0,Debt,"""We plan to use the investment funds to scale our operations, improve our content and curriculum development, and expand our sales and marketing efforts to reach more students and educational institutions in Indonesia."""
GreenHub,2021-03-01,Astrid Wijaya,"Ambon, Maluku",Renewable Energy,Seed,"""GreenHub is a renewable energy technology company that specializes in developing innovative digital solutions for solar and wind energy project development, financing, and operation in Indonesia and beyond. Our platform provides a range of features, including project feasibility studies, financial modeling, and asset management. Our mission is to accelerate the transition to renewable energy, reduce carbon emissions, and enhance energy security through our cutting-edge digital solutions.""",75,Marketplace,16874,3000000000,Individuals,64000000000,12000000,81000000.0,-0.03,53.0,Convertible Note,"""We plan to use the investment funds to further develop our platform, expand our sales and marketing efforts, and establish strategic partnerships with renewable energy developers, investors, and utilities in Indonesia and beyond."""
Socio Labs,2016-09-01,Ivan Rudianto,"Tarakan, North Kalimantan",Social Impact,Series B,"""Socio Labs is a social impact technology company that specializes in developing innovative digital solutions for social enterprises, non-profit organizations, and government agencies in Indonesia and beyond. Our platform provides a range of features, including social impact measurement, fundraising, and community engagement tools. Our mission is to enhance social impact, increase funding for social causes, and promote community engagement through our cutting-edge digital solutions.""",62,E-commerce,15562,5000000000,SMBs,94000000000,21000000,164000000.0,0.04,46.0,Equity,"""We plan to use the investment funds to further develop our platform, expand our sales and marketing efforts, and establish strategic partnerships with social enterprises, non-profit organizations, and government agencies in Indonesia and beyond."""
